2.664 2.912 1.339 4.834 7.548
2.755 9.965 7.891 3.282 3.772
3.270 2.720 3.378 5.655 8.308
3.600 9.994 1>896 9.472 4.336
5.026 2.005 5.711 2.214 3.966 1.789 7.103 5.213 
4.716 7.401 4.384 5.505 2.894
0.714 1.135 4.250 6.841 8.194 6.354 4.098
5.178 5.369 3.841 1.906 6.474
7.987 2.215 0.608 2.883 0.892
3.7680.367 2.334 4.708 5.359
5.877 9.218 1.)24 8.412 4.211
7.205 3.282 6.224 2.995 2.961 9.079 4.816 5.655 7.810 4.271
7.386 5.163 0.312 2.501 0.453 3.659 6.487 8.655
1.482 9.473 2.030 7.904 3.869
4.792 4.224 2.536 0.524 8.105
6.327 3.631 %.688 8.572 6.045
7.359 7.679 6.979 6.555 3.827 8.651 ABCDEF
1.519 3.179 4.123 0.216 9.524
0.458 3.193 1.749 6.914 4.193
8.260 5.304 5.815 0.497 5.756 ABCDEF
